"","network","region","country","latitude","longitude","reference"
"1",1,"Central & North America","USA",38.98,-106.97,"Ollerton et al. (2009) Ann. Bot., 103, 1471–1480"
"2",2,"Central & North America","USA",34.22,-116.95,"Alarcón et al. (2008) Oikos, 117, 1796–1807"
"3",3,"Caribbean","Cuba",22.28,-81.2,"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754"
"4",4,"Central & North America","Mexico",20.7,-98.77,"Martínez-García & Ortiz-Pulido (2014) Ornit Neotrop, 25, 273–289"
"5",5,"Central & North America","Mexico",20.68,-98.76,"Martínez-García & Ortiz-Pulido (2014) Ornit Neotrop, 25, 273–289"
"6",6,"Central & North America","Mexico",20.61,-98.75,"Martínez-García & Ortiz-Pulido (2014) Ornit Neotrop, 25, 273–289"
"7",7,"Central & North America","Mexico",20.13,-98.71,"Own unpublished data"
"8",8,"Central & North America","Mexico",19.5,-105.05,"Arizmendi & Ornelas (1990) Biotropica, 22, 172–180"
"9",9,"Central & North America","Mexico",19.5,-96.95,"Own unpublished data"
"10",10,"Central & North America","Mexico",19.4,-96.8,"Own unpublished data"
"11",11,"Central & North America","Mexico",19.28,-98.23,"Own unpublished data"
"12",12,"Central & North America","Mexico",19.23,-98.97,"Own unpublished data"
"13",13,"Caribbean","Jamaica",18.35,-77.65,"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754"
"14",14,"Caribbean","Puerto_Rico",18.13,-66.76,"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754"
"15",15,"Caribbean","Puerto_Rico",17.95,-66.82,"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754"
"16",16,"Caribbean","Dominica",15.35,-61.3,"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754"
"17",17,"Caribbean","Dominica",15.25,-61.37,"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754"
"18",18,"Caribbean","Grenada",12.1,-61.7,"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754"
"19",19,"Caribbean","Grenada",12.1,-61.68,"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754"
"20",20,"Lowland South America","Trinidad_&_Tobago",10.67,-61.28,"Snow & Snow (1972) J. Anim. Ecol., 41, 471–485"
"21",21,"Central & North America","Costa_Rica",10.44,-84.01,"Maglianesi et al. (2014) Ecology 95, 3325–3334"
"22",22,"Central & North America","Costa_Rica",10.27,-84.08,"Maglianesi et al. (2014) Ecology 95, 3325–3334"
"23",23,"Central & North America","Costa_Rica",10.18,-84.11,"Maglianesi et al. (2014) Ecology 95, 3325–3334"
"24",24,"Central & North America","Costa_Rica",9.57,-83.73,"Wolf et al. (1976) J. Anim. Ecol., 45, 349–379"
"25",25,"Central & North America","Costa_Rica",9.48,-83.48,"Wolf et al. (1976) J. Anim. Ecol., 45, 349–379"
"26",26,"Andes","Colombia",5.92,-73.53,"Snow & Snow (1980) Bull. Br. Mus. Nat. Hist. (Zool.), 38, 105–139"
"27",27,"Andes","Colombia",5.9,-73.42,"Snow & Snow (1980) Bull. Br. Mus. Nat. Hist. (Zool.), 38, 105–139"
"28",28,"Andes","Colombia",4.54,-75.77,"Own unpublished data"
"29",29,"Andes","Colombia",4.53,-73.85,"Snow & Snow (1980) Bull. Br. Mus. Nat. Hist. (Zool.), 38, 105–139"
"30",30,"Andes","Colombia",4.5,-75.6,"Own unpublished data"
"31",31,"Andes","Colombia",2.67,-76.95,"Ramírez‐Burbano et al. (2017) Biotropica, 49, 555-564 "
"32",32,"Andes","Colombia",2.52,-76.98,"Ramírez‐Burbano et al. (2017) Biotropica, 49, 555-564"
"33",33,"Andes","Colombia",1.25,-77.43,"Gutierres Aquiles EZ, Rojas-Nossa SV (2001) Dinámica anual de la interacción de colibrí-flor en ecosistemas altoandinos del volcán Galeras, sur de Colombia: Título de biología, Universidad Nacional de Colombia."
"34",34,"Lowland South America","Colombia",0.07,-72.45,"Lasprilla & Sazima M (2004) Ornit. Neotrop., 15, 183-190"
"35",35,"Andes","Ecuador",-0.02,-78.77,"Walther & Brieschke (2001) Internal. J. Ornithol., 4, 115–135 "
"36",36,"Andes","Ecuador",-2.83,-79.13,"Tinoco et al. (2017) Oikos, 126, 52–60."
"37",37,"Andes","Ecuador",-2.87,-79.12,"Tinoco et al. (2017) Oikos, 126, 52–60."
"38",38,"Andes","Ecuador",-2.96,-79.1,"Tinoco et al. (2017) Oikos, 126, 52–60."
"39",39,"Lowland South America","Colombia",-3.82,-70.27,"Cotton (1998) Ibis 140, 639–646."
"40",40,"Lowland South America","Brazil",-7.87,-36.4,"Las Casas et al. (2012) Braz. J. Biol., 72, 51–58."
"41",41,"Lowland South America","Brazil",-11.48,-41.32,"Own unpublished data"
"42",42,"Lowland South America","Peru",-12.85,-69.37,"Watts et al. (2016). Ann. Bot. 118, 415-429."
"43",43,"Lowland South America","Brazil",-12.98,-41.33,"Machado et al. (2007) Rev. Bras. Ornitol., 15, 215–227"
"44",44,"Lowland South America","Brazil",-13.12,-41.58,"Machado (2009) Zoologia, 26, 55–65"
"45",45,"Lowland South America","Brazil",-13.12,-41.57,"Machado (2014) Biosci. J., 30, 1578–1587."
"46",46,"Andes","Peru",-13.22,-72.12,"Watts et al. (2016). Ann. Bot. 118, 415-429."
"47",47,"Lowland South America","Brazil",-13.81,-39.2,"Own unpublished data"
"48",48,"Lowland South America","Bolivia",-16.96,-65.41,"Abrahamczyk & Kessler (2010) J. Ornithol., 151, 615–625."
"49",49,"Lowland South America","Bolivia",-17.51,-63.64,"Abrahamczyk & Kessler (2010) J. Ornithol., 151, 615–625."
"50",50,"Lowland South America","Brazil",-17.78,-48.68,"Machado & Oliveira (2015) Rodriguésia, 66, 1-19."
"51",51,"Lowland South America","Brazil",-18.99,-48.3,"Araújo et al. (2011). Flora, 206, 827-835 / Maruyama et al. (2013) Naturwissenschaften, 100, 1061–1068."
"52",52,"Lowland South America","Brazil",-19.16,-48.39,"Araújo et al. (2013) Plant Syst. Evol., 299, 1119–1133/ Maruyama et al. (2014) Biotropica, 46, 740–747."
"53",53,"Lowland South America","Brazil",-19.25,-43.52,"Rodrigues & Rodrigues (2014) Braz. J. Biol., 74, 659–676."
"54",54,"Lowland South America","Brazil",-19.52,-56.98,"Araujo & Sazima M (2003) Flora, 198, 427–435"
"55",55,"Lowland South America","Brazil",-19.95,-43.9,"Vasconcelos & Lombardi (1999) Ararajuba, 7, 71–79."
"56",56,"Lowland South America","Brazil",-20.44,-54.65,"Rodrigues & Araujo (2011) Braz. J. Biol., 71, 611–622."
"57",57,"Lowland South America","Brazil",-20.51,-54.62,"Barbosa-Filho & Araujo (2013). Biota Neotrop., 13, 21-27"
"58",58,"Lowland South America","Brazil",-20.75,-42.92,"Abreu & Vieira (2004) Lundiana, 5, 129–134"
"59",59,"Lowland South America","Brazil",-22.28,-41.66,"Fonseca et al. (2015) An. Acad. Bras. Ciên., 87, 2163-2175"
"60",60,"Lowland South America","Brazil",-22.5,-44.83,"Canela (2006) Ph.D thesis. University of Campinas, Brazil."
"61",61,"Lowland South America","Brazil",-22.73,-45.58,"Sazima et al. (1996) Bot. Acta, 109, 149–160"
"62",62,"Lowland South America","Brazil",-23.28,-45.05,"Vizentin-Bugoni et al. (2016) J. Anim. Ecol., 85, 262–272"
"63",63,"Lowland South America","Brazil",-23.32,-44.94,"Maruyama et al. (2015) Oecologia, 178,783–793"
"64",64,"Lowland South America","Brazil",-23.33,-44.83,"Maruyama et al. (2015) Oecologia, 178,783–793"
"65",65,"Lowland South America","Brazil",-23.35,-44.83,"Own unpublished data"
"66",66,"Lowland South America","Brazil",-23.36,-44.85,"Maruyama et al. (2015) Oecologia, 178,783–793"
"67",67,"Lowland South America","Brazil",-23.63,-45.85,"Snow & Snow (1986) Hornero, 12, 286–296"
"68",68,"Lowland South America","Brazil",-24.18,-47.93,"Own unpublished data"
"69",69,"Lowland South America","Brazil",-24.56,-47.23,"Own unpublished data"
"70",70,"Lowland South America","Brazil",-25.32,-48.7,"Own unpublished data"
"71",71,"Lowland South America","Brazil",-27.25,-49,"Own unpublished data"
"72",72,"Lowland South America","Brazil",-27.25,-49,"Own unpublished data"
"73",73,"Lowland South America","Brazil",-27.25,-49,"Own unpublished data"
"74",74,"Lowland South America","Brazil",-31.8,-52.42,"Own unpublished data"
"75",75,"Andes","Ecuador",-4.11,-78.97,"Sonne et al. (2019) Biotropica 51, 205–218"
"76",76,"Andes","Ecuador",-4.11,-79.17,"Sonne et al. (2019) Biotropica 51, 205–218"
"77",77,"Andes","Ecuador",-3.97,-79.07,"Sonne et al. (2019) Biotropica 51, 205–218"
"78",78,"Andes","Peru",-9.71,-76.16,"Gonzalez & Loiselle (2016) PeerJ, 4, e2789."
"79",79,"Central & North America","Mexico",20.52,-100.35,"Own unpublished data"
"80",80,"Central & North America","Mexico",20.76,-100.35,"Own unpublished data"
"81",81,"Andes","Ecuador",0.12,-78.63,"Graham & Weinstein (2018) Ecol. Lett., 21, 1299–1310"
"82",82,"Andes","Ecuador",0.12,-78.6,"Graham & Weinstein (2018) Ecol. Lett., 21, 1299–1310"
"83",83,"Andes","Colombia",4.67,-75.57,"Own unpublished data"
"84",84,"Andes","Colombia",4.58,-75.86,"Own unpublished data"
"85",85,"Lowland South America","Brazil",-18.2,-43.57,"Own unpublished data"
"86",86,"Lowland South America","Brazil",-21.62,-47.81,"Own unpublished data"
"87",87,"Central & North America","Mexico",15.59,-92.85,"Partida-Lara et al. (2018) J. Trop. Ecol., 34, 293–307"
"88",88,"Central & North America","Mexico",15.63,-92.81,"Partida-Lara et al. (2018) J. Trop. Ecol., 34, 293–307"
"89",89,"Central & North America","Mexico",15.66,-92.81,"Partida-Lara et al. (2018) J. Trop. Ecol., 34, 293–307"
"90",90,"Central & North America","Mexico",16.75,-92.69,"Partida-Lara et al. (2012) Rev. Biol. Trop., 60, 1621-1630"
"91",91,"Lowland South America","Brazil",-23.58,-45.33,"Buzato et al. (2000) Biotropica, 32, 824-841"
"92",92,"Lowland South America","Brazil",-23.17,-44.92,"Buzato et al. (2000) Biotropica, 32, 824-841"
"93",93,"Caribbean","British_Virgin_Islands",18.73,-64.32,"Own unpublished data"
"94",94,"Caribbean","Hispaniola",19.11,-70.55,"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754"
"95",95,"Caribbean","Antigua",17.055,-61.86,"Own unpublished data"
"96",96,"Caribbean","Dominica",15.34,-61.31,"Own unpublished data"
"97",97,"Caribbean","Grenada",12.09,-61.68,"Own unpublished data"
"98",98,"Caribbean","Guadeloupe",16.17,-61.69,"Own unpublished data"
"99",99,"Caribbean","Martinique",14.81,-61.18,"Own unpublished data"
"100",100,"Caribbean","Nevis",17.15,-62.58,"Own unpublished data"
"101",101,"Caribbean","St._Kitts",17.36,-62.82,"Own unpublished data"
"102",102,"Caribbean","Saba",17.63,-63.24,"Own unpublished data"
"103",103,"Caribbean","St._Eustatius",17.49,-62.97,"Own unpublished data"
"104",104,"Caribbean","St._Lucia",13.83,-60.92,"Own unpublished data"
"105",105,"Lowland South America","Trinidad",10.44,-61.24,"Own unpublished data"
"106",106,"Lowland South America","Tobago",11.28,-60.62,"Own unpublished data"
